,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,pubchem_cid,smiles_pc,Standard Type,Standard Relation,Standard Value,Standard Units,pIC50_BSEP,relation_BSEP,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,casn,aenm,pIC50_BSEP_tcpl,spid,pIC50_BSEP_adj,pIC50_BSEP_tcpl_adj,Morgan,SMDC,CRADA,Hafey
0,CHEMBL3099716,4,0,443.55,1,5.12,4,CC1(C)OC(=O)N([C@H]2CC[C@H](c3cnc(N)c(-c4ncccn4)c3)CC2)[C@H]1c1ccccc1,71660496,CC1([C@@H](N(C(=O)O1)C2CCC(CC2)C3=CC(=C(N=C3)N)C4=NC=CC=N4)C5=CC=CC=C5)C,IC50,'=',11000,nM,4.96,,,,UO_0000065,11.18,0.21,-0.16,5.26,0,CHEMBL3101856,Inhibition of BSEP (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL3098003,1,Scientific Literature,ACS Med. Chem. Lett.,2013,None,4,,4.96,,4.96,4.96,0,0,0,0
1,CHEMBL3819587,7,0,550.64,1,3.86,7,COc1cc([C@@H](CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,118170767,C[C@@H]1CN(S(=O)(=O)C2=CC=CC=C2O1)CC3=C(C=CC(=C3)[C@H](CC(=O)O)C4=CC5=C(C(=C4)OC)N(N=N5)C)C,IC50,'=',4000,nM,5.4,,,,UO_0000065,9.8,0.19,1.54,4.36,0,CHEMBL3819824,Inhibition of BSEP (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL3817762,1,Scientific Literature,J. Med. Chem.,2016,None,7,,5.4,,5.4,5.4,0,0,0,0
2,CHEMBL4159416,14,0,482.53,1,6.78,14,COc1ccc(F)c(-c2ccc(C3CCc4ccc([C@H](C5CC5)[C@H](C)C(=O)[O-])cc4O3)cc2)c1.[Na+],145957609,C[C@@H]([C@@H](C1CC1)C2=CC3=C(CCC(O3)C4=CC=C(C=C4)C5=C(C=CC(=C5)OC)F)C=C2)C(=O)[O-].[Na+],IC50,'=',1400,nM,5.85,,,,UO_0000065,,,,,0,CHEMBL4151281,Inhibition of human BSEP expressed in baculovirus infected Sf9 insect cell membrane vesicles assessed as reduction in ATP-dependent [3H]-taurocholic acid uptake,A,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4145665,1,Scientific Literature,ACS Med Chem Lett,2018,None,14,,5.85,,5.85,5.85,0,0,0,0
3,CHEMBL4162778,16,0,483.52,1,6.18,16,COc1ccc(F)c(-c2ccc(C3CCc4ccc([C@H](C5CC5)[C@H](C)C(=O)[O-])cc4O3)nc2)c1.[Na+],145959985,C[C@@H]([C@@H](C1CC1)C2=CC3=C(CCC(O3)C4=NC=C(C=C4)C5=C(C=CC(=C5)OC)F)C=C2)C(=O)[O-].[Na+],IC50,'=',300,nM,6.52,,,,UO_0000065,,,,,0,CHEMBL4151281,Inhibition of human BSEP expressed in baculovirus infected Sf9 insect cell membrane vesicles assessed as reduction in ATP-dependent [3H]-taurocholic acid uptake,A,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4145665,1,Scientific Literature,ACS Med Chem Lett,2018,None,16,,6.52,,6.52,6.52,0,0,0,0
4,CHEMBL4168422,29,0,484.5,1,5.57,29,COc1cc(-c2ccc(C3CCc4ccc([C@H](C5CC5)[C@H](C)C(=O)[O-])cc4O3)nc2)c(F)cn1.[Na+],145955958,C[C@@H]([C@@H](C1CC1)C2=CC3=C(CCC(O3)C4=NC=C(C=C4)C5=CC(=NC=C5F)OC)C=C2)C(=O)[O-].[Na+],IC50,'=',3200,nM,5.5,,,,UO_0000065,,,,,0,CHEMBL4151281,Inhibition of human BSEP expressed in baculovirus infected Sf9 insect cell membrane vesicles assessed as reduction in ATP-dependent [3H]-taurocholic acid uptake,A,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4145665,1,Scientific Literature,ACS Med Chem Lett,2018,None,29,,5.5,,5.5,5.5,0,0,0,0
5,CHEMBL3344501,33,0,1344.84,None,None,33,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H]([C@@H](C)CN2CCN(CCOC)CC2)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,90142631,CC[C@H]1C(=O)N([C@@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)[C@@H](C)CN2CCN(CC2)CCOC)C)C)C,IC50,'=',1600,nM,5.8,,,,UO_0000065,,,,,0,CHEMBL3389575,Inhibition of BSEP (unknown origin) expressed in HEK293 cells using [3H]taurocholic acid substrate,A,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL3351593,1,Scientific Literature,J. Med. Chem.,2014,CHEMBL3307715,33,,5.8,,5.8,5.8,0,0,0,0
6,,(-)- blebbistatin,,,,,(-)- blebbistatin,Cc1ccc2N=C3N(CC[C@@]3(O)C(=O)c2c1)c1ccccc1,5287792,CC1=CC2=C(C=C1)N=C3[C@](C2=O)(CCN3C4=CC=CC=C4)O,5287792,,,,4,>,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,5287792,,4,93,3,3,0,1,0,0
7,CHEMBL4063475,"(-)-3-(3,4-dihydroxyphenyl)-2-methyl-L-alanine sesquihydrate",0,229.23,0,0.44,"(-)-3-(3,4-dihydroxyphenyl)-2-methyl-L-alanine sesquihydrate",C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O.O,18530292,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N.O,IC50,'=',133000,nM,3.876148359,>,Outside typical range,,UO_0000065,,,,,0,CHEMBL4028921,Inhibition of human BSEP overexpressed in Sf9 cell membrane vesicles assessed as uptake of [3H]-taurocholate in presence of ATP measured after 15 to 20 mins by membrane vesicle transport assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4028801,1,Scientific Literature,Toxicol Sci,2013,None,38853,,3.876148359,Chembl_txp_125,2.876148359,2.876148359,1,0,0,1
8,CHEMBL4059722,(-)-tramadol,0,263.38,0,2.63,(-)-tramadol,COc1cccc([C@]2(O)CCCC[C@H]2CN(C)C)c1,667511,CN(C)C[C@@H]1CCCC[C@]1(C2=CC(=CC=C2)OC)O,IC50,'=',133000,nM,3.876148359,>,Outside typical range,,UO_0000065,,,,,0,CHEMBL4028921,Inhibition of human BSEP overexpressed in Sf9 cell membrane vesicles assessed as uptake of [3H]-taurocholate in presence of ATP measured after 15 to 20 mins by membrane vesicle transport assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4028801,1,Scientific Literature,Toxicol Sci,2013,None,(-)-tramadol,,3.876148359,,2.876148359,2.876148359,0,0,0,0
9,CHEMBL257990,(+)-TRANYLCYPROMINE,0,133.19,0,1.5,AZ91,N[C@H]1C[C@@H]1c1ccccc1,26070,C1[C@@H]([C@H]1N)C2=CC=CC=C2,IC50,'=',102700,nM,3.988429556,,Outside typical range,,UO_0000065,,,,,0,CHEMBL4017550,Inhibition of human BSEP expressed in baculovirus transfected fall armyworm Sf21 cell membranes vesicles assessed as reduction in ATP-dependent [3H]-taurocholate transport into vesicles incubated for 5 mins by Topcount based rapid filtration method,A,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4017441,1,Scientific Literature,Drug Metab Dispos,2012,None,(+)-TRANYLCYPROMINE,,3.988429556,,3.988429556,3.988429556,0,0,0,0
10,,(R)-1-(2-bromophenyl)-3-(1-(5-(trifluoromethyl)pyridin-2-yl)pyrrolidin-3-yl)urea,,,,,(R)-1-(2-bromophenyl)-3-(1-(5-(trifluoromethyl)pyridin-2-yl)pyrrolidin-3-yl)urea,FC(F)(F)c1ccc(nc1)N1CC[C@H](C1)NC(=O)Nc1ccccc1Br,9910486,C1CN(C[C@@H]1NC(=O)NC2=CC=CC=C2Br)C3=NC=C(C=C3)C(F)(F)F,9910486,,,,5.25,,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,9910486,BSEP_Txptr_Inhib_3HTch_uptake,5.257486132,195,5.25,5.257486132,0,1,0,0
11,,(r)-2-((1-(4-(4-(3-(azepan-1-yl)propoxy)phenyl)butyl)pyrrolidin-2-yl)methyl)-4-(4-chlorobenzyl)phthalazin-1(2h)-one,,,,,(r)-2-((1-(4-(4-(3-(azepan-1-yl)propoxy)phenyl)butyl)pyrrolidin-2-yl)methyl)-4-(4-chlorobenzyl)phthalazin-1(2h)-one,Clc1ccc(Cc2nn(C[C@H]3CCCN3CCCCc3ccc(OCCCN4CCCCCC4)cc3)c(=O)c3ccccc23)cc1,17747460,C1CCCN(CC1)CCCOC2=CC=C(C=C2)CCCCN3CCC[C@@H]3CN4C(=O)C5=CC=CC=C5C(=N4)CC6=CC=C(C=C6)Cl,17747460,,,,4,>,,,,,,,,,,,,,,,,,,,,,,,SMDC,,,,,,17747460,,4,152,3,3,0,1,0,0
12,CHEMBL399539,(R)-ISRADIPINE,0,371.39,0,2.58,AZ83,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@@H]1c1cccc2nonc12,13773524,CC1=C([C@H](C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,IC50,'<',10000,nM,5,<,,,UO_0000065,,,,,0,CHEMBL4017550,Inhibition of human BSEP expressed in baculovirus transfected fall armyworm Sf21 cell membranes vesicles assessed as reduction in ATP-dependent [3H]-taurocholate transport into vesicles incubated for 5 mins by Topcount based rapid filtration method,A,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4017441,1,Scientific Literature,Drug Metab Dispos,2012,None,(R)-ISRADIPINE,,5,,6,6,0,0,0,0
13,CHEMBL69073,(S)-ALBUTEROL,0,239.31,0,1.31,AZ138,CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1,182176,CC(C)(C)NC[C@H](C1=CC(=C(C=C1)O)CO)O,IC50,'>',1000000,nM,3,>,Outside typical range,,UO_0000065,,,,,0,CHEMBL4017550,Inhibition of human BSEP expressed in baculovirus transfected fall armyworm Sf21 cell membranes vesicles assessed as reduction in ATP-dependent [3H]-taurocholate transport into vesicles incubated for 5 mins by Topcount based rapid filtration method,A,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL6020,Bile salt export pump,Homo sapiens,SINGLE PROTEIN,CHEMBL4017441,1,Scientific Literature,Drug Metab Dispos,2012,None,(S)-ALBUTEROL,,3,,2,2,0,0,0,0
