chemicals,smiles,pChEMBL,activity,relation,unit,assay_id,type
None_CHEMBL100086,COc1cccc(CN2CCN(C3CCC(O)(c4ccc5c(c4)OCO5)CC3)CC2)c1,4.0,100000.0,>,nM,CHEMBL621385,IC50
None_CHEMBL26533,COc1ccccc1N1CCN(CCCCNC(=O)C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)CC1,6.0,1000.0,>,nM,CHEMBL617989,Ki
None_CHEMBL418854,COc1ccccc1N1CCC(CNCC2COc3ccc(Cl)cc3O2)CC1,6.0,1000.0,>,nM,CHEMBL617967,Ki
SUMATRIPTAN_CHEMBL128,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,5.0,10000.0,>,nM,CHEMBL617968,IC50
SUMATRIPTAN_CHEMBL128,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,8.031517051446064,9.3,=,nM,CHEMBL618143,IC50
None_CHEMBL268800,COc1ccc2[nH]c(C)c(CCN)c2c1,5.0,10000.0,>,nM,CHEMBL620727,Ki
None_CHEMBL268800,COc1ccc2[nH]c(C)c(CCN)c2c1,5.0,10000.0,>,nM,CHEMBL618150,Ki
None_CHEMBL292779,Fc1cccc(CCN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,5.0,10000.0,>,nM,CHEMBL618143,IC50
None_CHEMBL120055,Cc1ccccc1N1CCN(C(=O)COc2ccc3[nH]cc(CCN)c3c2)CC1,5.0,10000.0,>,nM,CHEMBL618144,IC50
None_CHEMBL138809,COC1OC2(CCN(Cc3ccccc3)CC2)c2ccccc21,5.0,10000.0,>,nM,CHEMBL618145,IC50
None_CHEMBL138458,COC1Cc2ccccc2C2(CCN(CCCc3ccccc3)CC2)O1,5.0,10000.0,>,nM,CHEMBL618145,IC50
None_CHEMBL141209,COC1Cc2ccccc2C2(CCN(Cc3ccccc3)CC2)O1,5.0,10000.0,>,nM,CHEMBL618145,IC50
None_CHEMBL38465,Cc1[nH]cnc1Cc1nc(-c2ccccc2)cs1,8.744727494896694,1.8,=,nM,CHEMBL618149,Ki
None_CHEMBL329179,Cc1[nH]cnc1Cc1nc(-c2ccccc2F)cs1,8.712198270069774,1.94,=,nM,CHEMBL618149,Ki
None_CHEMBL290938,Cc1[nH]cnc1Cc1nc(-c2c[nH]c3ccccc23)cs1,7.920818753952375,12.0,=,nM,CHEMBL618149,Ki
ONDANSETRON_CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,7.790484985457369,16.2,=,nM,CHEMBL618149,Ki
ONDANSETRON_CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,7.795880017344075,16.0,=,nM,CHEMBL618152,Ki
ONDANSETRON_CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,8.468521082957745,3.4,=,nM,CHEMBL1274533,Ki
ONDANSETRON_CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,10.045757490560675,0.09,=,nM,CHEMBL2215822,IC50
ONDANSETRON_CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,8.55284196865778,2.8,=,nM,CHEMBL2215843,Ki
None_CHEMBL421747,Cc1[nH]cnc1Cc1nc(-c2cccc3cccnc23)cs1,9.0,1.0,=,nM,CHEMBL618149,Ki
None_CHEMBL93919,COc1ccccc1-c1csc(Cc2[nH]cnc2C)n1,9.3767507096021,0.42,=,nM,CHEMBL618149,Ki
TROPISETRON_CHEMBL56564,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2,8.568636235841012,2.7,=,nM,CHEMBL618149,Ki
