compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments
CHEMBL1806768,AAFQEIUAVWYQTJ-UHFFFAOYSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,21621312,IC50,=,1650,NM,,"","","","","","",,,,,,,,Inhibition of recombinant human MAOA expressed in baculovirus infected insect cell microsomes using kynuramine as substrate assessed as formation of 4-hydroxyquinoline after 20 mins by fluorescence spectrophotometry,8-Aryl- and alkyloxycaffeine analogues as inhibitors of monoamine oxidase.,Eur. J. Med. Chem.,PUBLICATION,
CHEMBL1806768,AAFQEIUAVWYQTJ-UHFFFAOYSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,21621312,INHIBITION,,,,Not Active,"","","","","","",,,,,,,,Irreversible inhibition of human recombinant MAOA expressed in baculovirus infected insect cell microsomes using kynuramine as substrate assessed as 4-hydroxyquinoline formation per min per mg protein at 3.29 uM after 60 mins by fluorescence spectrophotometry,8-Aryl- and alkyloxycaffeine analogues as inhibitors of monoamine oxidase.,Eur. J. Med. Chem.,PUBLICATION,
CHEMBL1806768,AAFQEIUAVWYQTJ-UHFFFAOYSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,21621312,KI,=,580,NM,,"","","","","","",,,,,,,,Inhibition of recombinant human MAOA expressed in baculovirus infected insect cell microsomes using kynuramine as substrate assessed as formation of 4-hydroxyquinoline after 20 mins by fluorescence spectrophotometry,8-Aryl- and alkyloxycaffeine analogues as inhibitors of monoamine oxidase.,Eur. J. Med. Chem.,PUBLICATION,
CHEMBL1806768,AAFQEIUAVWYQTJ-UHFFFAOYSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,21621312,KI,=,1180,NM,,"","","","","","",,,,,,,,Competitive inhibition of human recombinant MAOA expressed in baculovirus infected insect cell microsomes using kynuramine as substrate assessed as 4-hydroxyquinoline formation per min per mg protein by Lineweaver-Burk plot analysis,8-Aryl- and alkyloxycaffeine analogues as inhibitors of monoamine oxidase.,Eur. J. Med. Chem.,PUBLICATION,
CHEMBL566523,AALRMFYQWJBGLW-VXLYETTFSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,22222137,INHIBITION,=,40,%,,"",cell_based,"","","","",,,,,,,,Inhibition of human recombinant MAO-A expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as inhibition of hydrogen peroxide production from p-tryptamine at 100 uM after 15 mins by fluorimetric method,Synthesis and biological assessment of novel 2-thiazolylhydrazones and computational analysis of their recognition by monoamine oxidase B.,Eur. J. Med. Chem.,PUBLICATION,
CHEMBL566523,AALRMFYQWJBGLW-VXLYETTFSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,22222137,INHIBITION,,,,Dose-dependent effect,"",cell_based,"","","","",,,,,,,,Inhibition of human recombinant MAO-A expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as inhibition of hydrogen peroxide production from p-tryptamine after 15 mins by fluorimetric method,Synthesis and biological assessment of novel 2-thiazolylhydrazones and computational analysis of their recognition by monoamine oxidase B.,Eur. J. Med. Chem.,PUBLICATION,
CHEMBL1173525,AAMOMFNMMXXVGM-IZZDOVSWSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,22781190,IC50,=,12167,NM,,"","","","","","",,,,,,,,Inhibition of human recombinant MAO-A using kynuramine as substrate preincubated with compound for 15 mins measured after 20 mins by fluorometric analysis,Synthesis and evaluation of aplysinopsin analogs as inhibitors of human monoamine oxidase A and B.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,DIAZEPAM,,P21397,MONOAMINE OXIDASE A,MAOA,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"",cell_based,"","","","",BTI-TN-5B1-4,,,,,,,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,DIAZEPAM,,P21397,MONOAMINE OXIDASE A,MAOA,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"",cell_based,"","","","",BTI-TN-5B1-4,,,,,,,DRUGMATRIX: Monoamine Oxidase MAO-A enzyme inhibition (substrate: Kynuramine),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL186863,AATWPLNNZKLWEK-UHFFFAOYSA-N,,,P21397,MONOAMINE OXIDASE A,MAOA,,,15482934,IC50,=,18000,NM,,"","","","","","",,,,,,,,Concentration required to inhibit monoamine oxidase activity by 50%,QSAR modeling of the MAO inhibitory activity of xanthones derivatives.,Bioorg. Med. Chem. Lett.,PUBLICATION,
