compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments
CHEMBL336100,AAADQEFQWNJHOZ-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,12213053,IC50,=,12.3,NM,,"","","","","","",,,,,,,,Displacement of [3H]WIN-35428 from Dopamine Transporter of guinea pig striatal membrane,Mazindol analogues as potential inhibitors of the cocaine binding site at the dopamine transporter.,J. Med. Chem.,PUBLICATION,
CHEMBL336100,AAADQEFQWNJHOZ-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,12213053,IC50,=,91,NM,,"",cell_based,"","","","",,,,,,,,Inhibition of dopamine uptake in HEK cells expressing human dopamine transporter (hDAT),Mazindol analogues as potential inhibitors of the cocaine binding site at the dopamine transporter.,J. Med. Chem.,PUBLICATION,
CHEMBL336100,AAADQEFQWNJHOZ-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,12213053,KI,=,23.1,NM,,"",cell_based,"","","","",,,,,,,,Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells,Mazindol analogues as potential inhibitors of the cocaine binding site at the dopamine transporter.,J. Med. Chem.,PUBLICATION,
CHEMBL14144,AAEKULYONKUBOZ-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,14971892,KI,=,5.25,NM,,"","","","","","",,,,,,,,In vitro binding affinity against human dopamine transporter in dog kidney cell line by using [3H]WIN-35428 as the radiotracer,"Synthesis, radiosynthesis, and biological evaluation of carbon-11 and iodine-123 labeled 2beta-carbomethoxy-3beta-[4'-((Z)-2-haloethenyl)phenyl]tropanes: candidate radioligands for in vivo imaging of the serotonin transporter.",J. Med. Chem.,PUBLICATION,
CHEMBL3323101,AAHLCKVWZXFMPB-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,25050161,IC50,=,4.5,NM,,"",cell_based,"","","","",,,,,,,,"Displacement of [3H]WIN 35,428 from human DAT expressed in HEK293E cells after 1 hr by liquid scintillation counting",,ACS Med. Chem. Lett.,PUBLICATION,
CHEMBL3323101,AAHLCKVWZXFMPB-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,Ki,=,3.8,NM,314444,"","","","","","",,,,,,,,"BindingDB_Patents: Binding Assay. In order to evaluate the relative affinity of the various compounds at the NE, DA and 5HT transporters, HEK293E cell lines were developed to express each of the three human transporters. cDNAs containing the complete coding regions of each transporter were amplified by PCR from human brain libraries. The cDNAs contained in pCRII vectors were sequenced to verify their identity and then subcloned into an Epstein-Barr virus based expression plasmid (Shen et al., Gene 156:235-239 (1995), which is hereby incorporated by reference in its entirety). This plasmid containing the coding sequence for one of the human transporters was transfected into HEK93E cells. Successful transfection was verified by the ability of known reuptake blockers to inhibit the uptake of tritiated NE, DA or 5HT.For binding, cells were homogenized, centrifuged, and then resuspended in incubation buffer (5 mM Tris, 120 mM NaCl, 5 mM KCl, pH 7.4). Then, the appropriate radioligand was added.","Aryl- and heteroaryl-substituted tetrahydroisoquinolines and use thereof to block reuptake of norepinephrine, dopamine, and serotonin",,PATENT,
CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,DIAZEPAM,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,DIAZEPAM,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL26649,AASZEODWFQQIRF-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,18393401,KI,=,8,NM,,"","","","","","",,,,,,,,Displacement of [125I]RTI55 from DAT,"Design and synthesis of 2- and 3-substituted-3-phenylpropyl analogs of 1-[2-[bis(4-fluorophenyl)methoxy]ethyl]-4-(3-phenylpropyl)piperazine and 1-[2-(diphenylmethoxy)ethyl]-4-(3-phenylpropyl)piperazine: role of amino, fluoro, hydroxyl, methoxyl, methyl, methylene, and oxo substituents on affinity for the dopamine and serotonin transporters.",J. Med. Chem.,PUBLICATION,
CHEMBL3334773,AAXDLPLNFKHHPR-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,25164761,IC50,=,291.4,NM,,"",cell_based,"","","","",,,,,,,,Inhibition of [3H]-DA uptake in human dopamine transporter expressed in HEK293 cells by scintillation counting,Synthesis and pharmacological investigation of aralkyl diamine derivatives as potential triple reuptake inhibitors.,Eur. J. Med. Chem.,PUBLICATION,
CHEMBL456654,ABAOWFCFAADMKA-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,18954985,KI,=,62,NM,,"","","","","","",,,,,,,,Inhibition of DAT,"Novel 3,3-disubstituted pyrrolidines as selective triple serotonin/norepinephrine/dopamine reuptake inhibitors.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL2169900,ABCUTHOEKRCYIS-UHFFFAOYSA-N,AZETIDIN-3-YL(PHENYL)METHANOL HCL,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,22938049,INHIBITION,=,3.9,%,,"",cell_based,"","","","",HEK293,,,,,,,Inhibition of human DAT expressed in HEK293 cells assessed as inhibition of dopamine reuptake at 0.1 uM after 15 mins by fluorescence assay,Exploration of novel 3-substituted azetidine derivatives as triple reuptake inhibitors.,J. Med. Chem.,PUBLICATION,
CHEMBL990,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,BUTENAFINE,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL990,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,BUTENAFINE,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",CHO-K1,,,,,,,DRUGMATRIX: Dopamine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL3577956,ABJWJGMTLYSISP-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,25893048,ACTIVITY,,,,Not Active,"","","","","","",,,,,,,,Binding affinity to human DAT at 1 uM,,ACS Med. Chem. Lett.,PUBLICATION,
CHEMBL551556,ABLMTRUAAOJKSC-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,19359175,IC50,,,,Not Determined,"",cell_based,"","","","",HEK293,,,,,,,Inhibition of [3H]DA uptake at human DAT expressed in HEK293 cells,"4-Piperidines and 3-pyrrolidines as dual serotonin and noradrenaline reuptake inhibitors: design, synthesis and structure-activity relationships.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL2205816,ABONQAUMSMWLEK-UHFFFAOYSA-N,,,Q01959,DOPAMINE TRANSPORTER,SLC6A3,,,22959245,INHIBITION,<,50,%,,"","","","","","",,,,,,,,Binding affinity to DAT at 10 uM,"A s(1) receptor pharmacophore derived from a series of N-substituted 4-azahexacyclo[5.4.1.0(2,6).0(3,10).0(5,9).0(8,11)]dodecan-3-ols (AHDs).",Bioorg. Med. Chem. Lett.,PUBLICATION,
