,index,compound_id,base_rdkit_smiles,relation,pXC50,active,mol_wt
0,0,CHEMBL1090433,C[C@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12,,3.5911733564587665,0,310.15036970399996
1,1,CHEMBL597,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,,3.733333329686457,0,281.152812228
2,2,CHEMBL596,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,,3.974999997683973,0,336.22016351599996
3,3,CHEMBL322678,Cn1cnc(S(=O)(=O)N[C@H]2CCN(CCCOc3ccc(C(=O)C4CC4)cc3)C2)c1,,4.04,0,432.18312637599996
4,4,CHEMBL319231,CC(=O)c1ccc(OCCCN2CC[C@H](N)C2)cc1,,4.05,0,262.168127944
5,5,CHEMBL353846,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,,4.086666654874581,0,311.18852904000005
6,6,CHEMBL1091778,C[C@@H](c1cccnc1)c1c(CCN(C)C)sc2ccccc12,,4.1,0,310.15036970399996
7,7,CHEMBL102390,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@@H](CO)NC(=O)OC(C)(C)C)C2)cc1,,4.1,0,449.25258584
8,8,CHEMBL316968,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C2)cc1,,4.12,0,449.25258584
9,9,CHEMBL320174,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C2)cc1,,4.22,0,433.25767121999996
10,10,CHEMBL103828,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@@H](C)NC(=O)OC(C)(C)C)C2)cc1,,4.25,0,433.25767121999996
11,11,CHEMBL154068,NCCc1c[nH]c(-c2ccc(Cl)c(Cl)c2)n1,,4.3000000145695445,0,255.03300271199998
12,12,CHEMBL154068,NCCc1cnc(-c2ccc(Cl)c(Cl)c2)[nH]1,,4.300000029139089,0,255.03300271199998
13,13,CHEMBL468176,Fc1ccc(-c2noc(C3CCN(c4cnc5ccc(Cl)cc5c4)CC3)n2)c(Cl)c1,<,4.301029995663981,0,442.07634474400004
14,14,CHEMBL3099716,CC1(C)OC(=O)N([C@H]2CC[C@H](c3cnc(N)c(-c4ncccn4)c3)CC2)[C@H]1c1ccccc1,<,4.314258261397736,0,443.23212516800004
15,15,CHEMBL3099716,CC1(C)OC(=O)N(C2CCC(c3cnc(N)c(-c4ncccn4)c3)CC2)[C@H]1c1ccccc1,<,4.314258261397736,0,443.23212516800004
16,16,CHEMBL104994,CC(=O)c1ccc(OCCCN2CC[C@H](NC(=O)[C@@H](N)CO)C2)cc1,,4.37,0,349.200156344
17,17,CHEMBL3311308,COc1ccc(S(=O)(=O)Nc2c(C)cc(C)cc2C)cc1,<,4.399999967876858,0,305.108564468
18,18,CHEMBL257391,N#CC(C#N)=C1N(CCCN2CCCCC2)CCN1CCCN1CCCCC1,,4.42,0,384.30014515199997
19,19,CHEMBL1082036,CCOc1cc(CN2CCC(Nc3nc4cc(S(=O)(=O)CC)ccc4o3)CC2)cc(OC2CCOCC2)c1,,4.42,0,543.2403069039999
20,20,CHEMBL404288,CC1CCCN1CCN1CCN(CCN2CCCC2C)C1=C(C#N)C#N,,4.42,0,356.26884502400003
21,21,CHEMBL323517,O=C(N[C@H]1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)C1)c1csc(-c2cccnc2)n1,,4.43,0,476.1882117560001
22,22,CHEMBL2103769,CN1[C@H](CC(=O)c2ccccc2)CCC[C@@H]1C[C@H](O)c1ccccc1,,4.449999994912441,0,337.20417910400005
23,23,CHEMBL2376800,CCc1cnc2c(N3CC(NC)C3)nc(N)nc2c1,,4.47,0,258.159294576
24,24,CHEMBL1093044,CNCCc1sc2ccccc2c1[C@@H](C)c1ccccn1,,4.49,0,296.13471964
25,25,CHEMBL3238446,C[C@H](NCc1ccc(OCCCN2CCCCC2)cc1)C(N)=O,,4.5,0,319.225977168
26,26,CHEMBL1091874,CN[C@@H]1CCN(c2nc(N)nc3c2oc2ccc(Cl)cc23)C1,<,4.5228787452803365,0,317.104337812
27,27,CHEMBL3609372,CC(C)NC(=O)N1CC[C@H](N=C2Nc3cc(F)ccc3N(CC(F)F)c3ccc(Cl)cc32)C1,<,4.5228787452803365,0,479.16997276000006
28,28,CHEMBL3609372,CC(C)NC(=O)N1CC[C@H](NC2=Nc3cc(F)ccc3N(CC(F)F)c3ccc(Cl)cc32)C1,<,4.5228787452803365,0,479.16997276000006
29,29,CHEMBL3238444,Cc1nnc(C)n1-c1ccc(OCCCN2CCCCC2)cc1,,4.53,0,314.210661452
30,30,CHEMBL1078642,N#C/N=C(/NCCCCc1c[nH]cn1)NCCSc1ccccc1,,4.59,0,342.16266570399995
31,31,CHEMBL4115693,O[C@@H]1Cc2ccccc2C(=C2CCNCC2)c2ccsc21,,4.638272163982408,0,297.11873522800005
32,32,CHEMBL4115677,CO[C@@H]1Cc2ccccc2C(=C2CCNCC2)c2ccsc21,,4.638272163982408,0,311.13438529200005
33,33,CHEMBL1091790,CC(c1ccncc1)c1c(CCN(C)C)sc2ccccc12,,4.6388481093216045,0,310.15036970399996
34,34,CHEMBL2376804,CNC1CN(c2nc(N)nc3cc(C4CC4)cnc23)C1,,4.68,0,270.159294576
35,35,CHEMBL1222728,CN1CCN(C(c2ccccc2)c2nnnn2Cc2ccccc2)CC1,<,4.698970004336019,0,348.206244768
36,36,CHEMBL2112451,N#Cc1ccc(S(=O)(=O)N[C@H]2CCN(CCCOc3ccc(C(=O)C4CC4)cc3)C2)cc1,,4.7,0,453.172227344
37,37,CHEMBL15499,C[C@H]1CN(CCc2ccc3c(c2)sc(=O)n3C)C[C@@H](C)N1,,4.7,0,305.15618335600004
38,38,CHEMBL2407174,CCOC(=O)N1CCC(CN2CCC3(CC2)CC(=O)N(CC)c2ncccc23)CC1,,4.73,0,414.263090948
39,39,CHEMBL2440659,Cc1csc(NC(=O)c2cc(F)cc(Oc3cncnc3)c2)n1,,4.73,0,330.0586748120001
40,40,CHEMBL3929465,O[C@H]1Cc2ccccc2C(=C2CCNCC2)c2ccsc21,,4.769551078621727,0,297.11873522800005
41,41,CHEMBL3909134,CO[C@H]1Cc2ccccc2C(=C2CCNCC2)c2ccsc21,,4.769551078621727,0,311.13438529200005
42,42,CHEMBL2376803,CNC1CN(c2nc(N)nc3cc(C4CCCC4)cnc23)C1,,4.78,0,298.190594704
43,43,ABZSPJVXTTUFAA-UHFFFAOYSA-N,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,,4.7888101858153025,0,351.1041477840001
44,44,CHEMBL66660,C(#Cc1c2c(nc3ccccc13)CCCCC2)CCN1CCCCC1,,4.8,0,332.225248896
45,45,CHEMBL102929,Cc1ccccc1S(=O)(=O)N[C@H]1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)C1,,4.8,0,442.19262843999996
46,46,CHEMBL293762,Cc1nc(N)sc1CCN,,4.800000052738446,0,157.067368352
47,47,CHEMBL275443,Cc1[nH]cnc1CCN,,4.800000052738446,0,125.09529735199999
