Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
QZAYGJVTTNCVMB-UHFFFAOYNA-N,5202,3359,A,6.85078,pubchem,552111,9606,HTR3A,2102,OC1=CC=2C(CCN)=CNC2C=C1
QSQQQURBVYWZKJ-UHFFFAOYNA-N,CHEMBL30713,3359,A,5.0,chembl20,965131,9606,HTR3A,2102,C1(=CNC2=C1C=CC=C2)CC(N)C
CIBFBHWSAKKIPN-UHFFFAOYNA-N,CHEMBL2169968,3359,A,6.27,chembl20,864726,9606,HTR3A,2102,C=1C(=CC=C2C=CC=CC12)N3CCN(CC3)C
CZWQBSKNHUVZLI-UHFFFAOYNA-N,CHEMBL1770373,3359,A,5.64,chembl20,744884,9606,HTR3A,2102,N=1C(CC=2C=CC=CC2)=NC=3CCNCCC3C1
CUQCMXFWIMOWRP-COZUNNQVNA-N,CHEMBL13791,3359,N,4.1,chembl20,689120,9606,HTR3A,2102,C(N=C(N)N)(=NC1=CC=CC=C1)N
DTBALPGNCWCVJP-UHFFFAOYNA-N,CHEMBL68281,3359,A,6.62,chembl20,3478,9606,HTR3A,2102,C1(=NC2=CC=CC=C2N1CC=C)N3CCNCC3
DIHXJZHAIHGSAW-MSNMYWDFNA-N,CHEMBL13790,3359,A,5.8,chembl20,689120,9606,HTR3A,2102,C(N=C(N)N)(=NC=1C=C(Cl)C=CC1)N
GHCKERHPOQWERJ-UHFFFAOYNA-N,CHEMBL148204,3359,A,6.0,chembl20,766545,9606,HTR3A,2102,N1=C2C(C=CC(=C2)N)=CC=3C1=CC=CC3
GVOCXQUIZNWEMU-YAQRNVERNA-N,14712103,3359,N,,pubchem,616534,9606,HTR3A,2102,N(CCC=1NC=NC1)CC2=CC=CC=C2
GTUIQNHJSXQMKW-UHFFFAOYNA-N,24795080,3359,A,6.1549,pubchem,704948,9606,HTR3A,2102,ClC=1OC(C(=O)N2CC3C(C2)CNC3)=CC1
MUOXAGUZMVATIC-UHFFFAOYNA-N,CHEMBL453996,3359,A,6.51,chembl20,564831,9606,HTR3A,2102,C=1C=C2C=C(C=CC2=CC1)OCC3CCNCC3
NZXGDKLTTHIYTB-NDKGDYFDNA-N,CHEMBL292066,3359,A,7.72,chembl20,3480,9606,HTR3A,2102,C1(=NC=2C=CC=CC2N1)N3CCNCC3
QPKAPAVYCGEURE-UHFFFAOYNA-N,CHEMBL443764,3359,A,8.87,chembl20,864726,9606,HTR3A,2102,C1=CC2=NC(=NC=C2C=C1)N3CCN(CC3)C
VBKOTIVQMCTTAQ-VMIOWZCSNA-N,9904281,3359,A,6.76447,pubchem,315628,9606,HTR3A,2102,ClC=1C2=C(NC(=NC2)N)C=CC1Cl
VBKOTIVQMCTTAQ-XLPACQNMNA-N,CHEMBL1548,3359,A,6.76,chembl20,463654,9606,HTR3A,2102,C1(=CC=C2N=C(NCC2=C1Cl)N)Cl
WIPPGLNWEIAUEV-LLDOCCBONA-N,CHEMBL1824047,3359,A,6.1,chembl20,766545,9606,HTR3A,2102,C1=CC=CC(CCCN=C(N)N)=C1
XRXDAJYKGWNHTQ-UHFFFAOYNA-N,5011,3359,A,8.4318,pubchem,297966,9606,HTR3A,2102,N1(CCNCC1)C=2N=C3C(=CC2)C=CC=C3
WYWNEDARFVJQSG-UHFFFAOYNA-N,CHEMBL266591,3359,A,5.92,chembl20,3466,9606,HTR3A,2102,C=1C(=CC=2C(=C(NC2C1)C)CCN)O
XWTAQEXSIBGWRM-UHFFFAOYNA-N,CHEMBL563848,3359,A,5.4,chembl20,851152,9606,HTR3A,2102,C12CCN(CC1)CCN2C(OC3=CC=CC=C3)=O
BPPGPYJBCVXILI-UHFFFAOYNA-N,CHEMBL364005,3359,A,7.47,chembl20,321408,9606,HTR3A,2102,C1(=C(NC=2C1=CC(=CC2)Cl)C)C3=CCNCC3
CFMSRRKPZHTMEX-UHFFFAOYNA-N,CHEMBL2169966,3359,A,8.79,chembl20,864726,9606,HTR3A,2102,C=1C(=NC=C2C=CC=CC12)N3CCN(CC3)C
CXJLWJAYGMWLRR-UHFFFAOYNA-N,CHEMBL611082,3359,A,7.89,chembl20,851152,9606,HTR3A,2102,C12CCN(CC1)CCN2C3=NC4=C(O3)C=CC=C4
GBRCKQVRLPIGIR-UHFFFAOYNA-N,CHEMBL2169974,3359,A,6.48,chembl20,864726,9606,HTR3A,2102,N=1C(=CC=C2C=CC=C(C12)N)N3CCN(CC3)C
BSNKYWSMUAGMDO-UHFFFAOYNA-N,11184481,3359,A,8.30103,pubchem,460743,9606,HTR3A,2102,O1C(N2C3CCN(CC3)CC2)=NC=4N=C(C=CC14)C
HIWIXUJADKOVEP-UHFFFAOYNA-N,CHEMBL597843,3359,A,6.24,chembl20,851152,9606,HTR3A,2102,C12CCN(CC1)CCN2C3=NC=4C(O3)=CC=CN4
HOMWNUXPSJQSSU-UHFFFAOYNA-N,CHEMBL288591,3359,A,9.34,chembl20,864726,9606,HTR3A,2102,N1=C(N2CCN(CC2)C)C=CC=3C1=CC=CC3
HNDAZSYDBSRFST-UHFFFAOYNA-N,CHEMBL123137,3359,A,8.33,chembl20,864726,9606,HTR3A,2102,N1=C(N2CCN(CC2)C)C=NC=3C1=CC=CC3
JJKSXCUVAHBTLA-UHFFFAOYNA-N,CHEMBL2169973,3359,A,6.69,chembl20,864726,9606,HTR3A,2102,N=1C(=CC=C2C(=CC=CC12)N)N3CCN(CC3)C
LDGNYEXMQRXXIW-UHFFFAOYNA-N,CHEMBL2169890,3359,A,8.13,chembl20,864726,9606,HTR3A,2102,N1=C(N=CC2=CC(=CC=C12)Cl)N3CCN(CC3)C
NGQQPARRDBDNPB-UHFFFAOYNA-N,53237438,3359,A,7.4437,pubchem,712522,9606,HTR3A,2102,ClC1=CC=C(SC=2C(N3CCNCC3)=CC=CC2)C=C1
PKPRDSSAMMLSLJ-UHFFFAOYNA-N,11709098,3359,A,7.1549,pubchem,460743,9606,HTR3A,2102,ClC=1C=C2OC(N3C4CCN(CC4)CC3)=NC2=NC1C
PKWXICSBZZLGCF-UHFFFAOYNA-N,CHEMBL260565,3359,A,6.6,chembl20,766545,9606,HTR3A,2102,C1=CC2=NC(=CC=C2C=C1Cl)N3CCN(CC3)C
RSUDGRCQQXSDOO-UHFFFAOYNA-N,CHEMBL2169967,3359,A,6.39,chembl20,864726,9606,HTR3A,2102,C1=C(C=NC2=CC=CC=C12)N3CCN(CC3)C
XFMPGBXLGWZMQP-BLJPFOPQNA-N,CHEMBL404372,3359,A,5.97,chembl20,464433,9606,HTR3A,2102,C1=CC=C2N=C(N[C@H](C2=C1Cl)C)N
XFMPGBXLGWZMQP-MWEJZKJPNA-N,44456033,3359,A,5.97375,pubchem,316407,9606,HTR3A,2102,ClC1=C2[C@@H](N=C(NC2=CC=C1)N)C
ZHSLKEYCKRMUKN-UHFFFAOYNA-N,53237435,3359,A,7.19382,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C3=CC=CC=C3
ABSDJNLAUZQHJY-UHFFFAOYNA-N,CHEMBL2205048,3359,A,7.21,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C=C(C=CC3)OC
CQSHZMQFBNWFEG-UHFFFAOYNA-N,CHEMBL2205036,3359,A,6.51,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=C(C2)C)SC=3C=CC=CC3
CYZKHRQTZRUXRT-UHFFFAOYNA-N,CHEMBL2205039,3359,A,6.36,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=C(C2)C)SC=3C=CC(=CC3)F
ANTKBACNWQHQJE-UHFFFAOYNA-N,CHEMBL1242950,3359,A,6.0,chembl20,659608,9606,HTR3A,2102,C1(CCCC)CCN(CCCC(C=2C(=CC=CC2)C)=O)CC1
FFNWMBDISAYHDC-UHFFFAOYNA-N,CHEMBL287045,3359,A,6.9,chembl20,564428,9606,HTR3A,2102,C(C1=C(C=C(C(=C1)Cl)N)OC)(=O)OCCN(CC)CC
FGDWUDRNOXESRS-UHFFFAOYNA-N,53237669,3359,A,7.284,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C=3C(OC)=CC=CC3
FKFNPTZCZKTCNF-GPQMBLKYNA-N,CHEMBL414183,3359,A,7.9,chembl20,766545,9606,HTR3A,2102,C1(=NC2=CC=CC=C2N=C1O)N3CCN(CC3)C
HAMAPMMCMQNNBY-UHFFFAOYNA-N,21864917,3359,A,7.25181,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C3=CC=C(C=C3)C
GRQDDYOXJKSBNX-YHSKDTNENA-N,CHEMBL2169970,3359,A,8.84,chembl20,864726,9606,HTR3A,2102,N=1C(=CC(=C2C=CC=CC12)N)N3CCN(CC3)C
IRNHNTVMAZMVND-UHFFFAOYNA-N,53237667,3359,A,7.19382,pubchem,712522,9606,HTR3A,2102,S(C=1C(N2CCNCC2)=CC=CC1)C=3C=C(C=CC3)C
IONCWLLKDMISKP-UHFFFAOYNA-N,CHEMBL2204363,3359,A,8.14,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)SC=3C(=CC(=CC3)C)Cl
JJNKQQZKWYVYGT-UHFFFAOYNA-N,CHEMBL2205035,3359,A,6.57,chembl20,880265,9606,HTR3A,2102,N1(CCNCC1)C=2C(=CC=CC2)OC=3C(=CC(=CC3)C)C
