,CID,standard_inchi_key,smiles
0,9845261,OSVMSQACZRYAPT-UHFFFAOYSA-N,"""COC1=CC=CC(=C1)CN2CCN(CC2)C3CCC(CC3)(C4=CC5=C(C=C4)OCO5)O"""
1,10130293,SCDKHPSUXHBJDJ-UHFFFAOYSA-N,"""C1CC2CCC1N2CC3=CN=CC=C3"""
2,44471685,WGIPGQAPFNVWIX-XXFZXMJFSA-N,"""COC1=CC=C(C=C1)C2=C(C(=NN2C3=CC=CC=C3I)C(=O)NN4CCCCC4)C#N"""
3,2554,FFGPTBGBLSHEPO-UHFFFAOYSA-N,"""C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N"""
4,44469321,CKLPLPZSUQEDRT-WPCRTTGESA-N,"""CC1CC2=C(C3(N1)C4=C(C=CC(=C4)Cl)NC3=O)NC5=CC(=C(C=C25)F)Cl"""
5,44611748,YOCUJVXRRWEPDN-UHFFFAOYSA-N,"""C1CCN(CC1)CCCCNC(=O)NC2=CN=C(C=C2)C3=CC=CC=C3F"""
6,44240743,LMGUUVWYFJIKCD-UHFFFAOYSA-N,"""C1CCN(CC1)CCCCNC(=O)NC2=CN=C(C=C2)C3=CC=C(C=C3)F"""
7,44611875,DFBQTBNRGSIKHN-UHFFFAOYSA-N,"""C1CCN(CC1)CCCCNC(=O)NC2=CN=C(C=C2)C3=CN=C(C=C3)F"""
8,46831060,MMXFWZCBTFHARB-UHFFFAOYSA-N,"""C1CCN(CC1)CCCCNC(=O)NC2=CC=C(C=C2)C3=CC=CC=N3"""
9,44611609,FWCCJDYYJWWQOS-UHFFFAOYSA-N,"""C1CCN(CC1)CCCCNC(=O)NC2=CN=C(C=C2)C3=CC=CC=C3"""
10,44611611,HCBWAWNFHVHMOV-UHFFFAOYSA-N,"""COC1=CC=CC=C1C2=NC=C(C=C2)NC(=O)NCCCCN3CCCCC3"""
11,46831058,FTPAKCBSUUBRFU-UHFFFAOYSA-N,"""C1CCN(CC1)CCCCNC(=O)NC2=CC=C(C=C2)C3=CC=C(C=C3)F"""
12,46831059,UPVXJFQSDLKQRB-UHFFFAOYSA-N,"""C1CCN(CC1)CCCCNC(=O)NC2=CC=C(C=C2)C3=CN=C(C=C3)F"""
13,46831057,OXIAXPOOKVTTDN-UHFFFAOYSA-N,"""C1CCN(CC1)CCCCNC(=O)NC2=CC=C(C=C2)C3=CC=CC=C3F"""
14,46831055,MUIUUGJVKFYPIF-UHFFFAOYSA-N,"""C1CCN(CC1)CCCCNC(=O)NC2=CC=C(C=C2)C3=CC=CC=C3"""
15,46831056,HSWHSJUFDDMBTI-UHFFFAOYSA-N,"""COC1=CC=CC=C1C2=CC=C(C=C2)NC(=O)NCCCCN3CCCCC3"""
16,46831061,SLMFOVKWAUVQPC-UHFFFAOYSA-N,"""C1CCN(CC1)CCCCNC(=O)NC2=CN=C(C=C2)C3=CC=CC=N3"""
17,46222048,PQPVHIHIJVIEQG-UHFFFAOYSA-N,"""CC(C)(C)C1=CC=C(C=C1)SCCC2=CN=CN2"""
18,3696,BCGWQEUPMDMJNV-UHFFFAOYSA-N,"""CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31"""
19,2099,JSWZEAMFRNKZNL-UHFFFAOYSA-N,"""CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C"""
20,60795,CEUORZQYGODEFX-UHFFFAOYSA-N,"""C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl"""
21,133038,QHLGXPUIUKSADT-UHFFFAOYSA-N,"""CC(CF)NCC(COC1=CC=CC2=C1C3=CC=CC=C3N2)O"""
22,5610,DZGWFCGJZKJUFP-UHFFFAOYSA-N,"""C1=CC(=CC=C1CCN)O"""
23,46906000,HFOUMBDMIJJHCK-UHFFFAOYSA-N,"""CN(CCNC(=O)C1=CC(=C(C=C1OC)N)Cl)CC2CCCCC2(C3=CC(=CC=C3)O)O"""
24,11724799,CEOCEXSTLLSYBV-UHFFFAOYSA-N,"""C1CN2CCC1NC(=O)C3=CC(=C(C=C3OCCOCC2)N)Cl"""
25,16019580,GCWNAFLHJNJVCV-UHFFFAOYSA-N,"""CN(CC1=CC=CC=C1)C2=NC3=C(N=NN3C4=C2SC=C4)S(=O)(=O)C5=CC=CC=C5"""
26,10449470,DICVBGGIAAPPNV-ZSUDRMHPSA-N,"""CN1C(=CC2=CNC3=C2C=C(C=C3)Br)C(=O)N(C1=N)C"""
27,25701,XVOYSCVBGLVSOL-UHFFFAOYSA-N,"""C(C(C(=O)O)N)S(=O)(=O)O"""
28,3052762,ZPMNHBXQOOVQJL-UHFFFAOYSA-N,"""COCCCN1CCC(CC1)NC(=O)C2=CC(=C(C3=C2OCC3)N)Cl"""
29,16019292,AFEOLFPUJYURJM-UHFFFAOYSA-N,"""CN(CC1=CC=CC=C1)C2=NC3=C(N=NN3C4=C2SC=C4)S(=O)(=O)C5=CC(=CC=C5)Cl"""
30,5778,UIJIQXGRFSPYQW-UHFFFAOYSA-N,"""CSC1=NC=NC2=C1NC=N2"""
31,36381,YSEXVIPNIGQQMN-UHFFFAOYSA-N,"""C1C2C3C4C1C5C2C6C3C4C5(N6CC7=CC=CC=C7)O"""
32,6337614,CPZBLNMUGSZIPR-NVXWUHKLSA-N,"""C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5"""
33,10385855,DWSOZYFSYVOVOC-UHFFFAOYSA-N,"""CC1=CC=CC=C1N2CCN(CC2)C(=O)COC3=CC4=C(C=C3)NC=C4CCN"""
34,52941718,GQQHPWHBHFNFFC-UHFFFAOYSA-N,"""CCS(=O)(=O)NC1=CC(=CC=C1)N2CCN(CC2)CCCCN3C(=O)C4CCCN4C3=O.Cl"""
