,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,pubchem_cid,smiles_pc,Standard Type,Standard Relation,Standard Value,Standard Units,pIC50_MRP4,relation_MRP4,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,casn,aenm,pIC50_MRP4_tcpl,spid,pIC50_MRP4_adj,pIC50_MRP4_tcpl_adj,Morgan,SMDC,CRADA,Hafey
0,CHEMBL224867,TAUROCHOLATE,0,515.71,1,2.37,Cholate,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,6675,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,IC50,'=',350000,nM,3.455931956,,Outside typical range,inhibitor [IC50=350uM],UO_0000065,,,,,0,CHEMBL2078156,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells,F,BAO_0000249,cell membrane format,None,None,None,HEK293,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3307715,taurocholate,,3.455931956,,3.455931956,3.455931956,0,0,0,0
1,CHEMBL224867,TAUROCHOLATE,0,515.71,1,2.37,Taurocholate,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,6675,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,IC50,'=',250000,nM,3.602059991,,Outside typical range,inhibitor [IC50=250uM],UO_0000065,,,,,0,CHEMBL2078641,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells,F,BAO_0000249,cell membrane format,None,None,None,HEK293,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073968,18,TP-search Transporter Database,Int. J. Biochem. Cell Biol.,2004,CHEMBL3307715,taurocholate,,3.602059991,,3.602059991,3.602059991,0,0,0,0
2,CHEMBL411070,GLYCOCHOLIC ACID,3,465.63,0,2.56,Glycocholate,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,10140,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,IC50,'=',400000,nM,3.397940009,,Outside typical range,inhibitor [IC50=400uM],UO_0000065,,,,,0,CHEMBL2078156,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells,F,BAO_0000249,cell membrane format,None,None,None,HEK293,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3307715,glycocholate,,3.397940009,,3.397940009,3.397940009,0,0,0,0
3,CHEMBL1162492,ESTRADIOL DISULFATE,0,432.52,0,2.91,"Estradiol 3,17-disulfate",C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O,66430,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OS(=O)(=O)O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,IC50,'=',200,nM,6.7,,,inhibitor [IC50=0.2uM],UO_0000065,,,,,0,CHEMBL2077067,TP_TRANSPORTER: inhibition of DHEAS in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3308860,"Estradiol 3,17-disulfate",,6.7,,6.7,6.7,0,0,0,0
4,CHEMBL1162492,ESTRADIOL DISULFATE,0,432.52,0,2.91,"Estradiol 3,17-disulfate",C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O,66430,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OS(=O)(=O)O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,IC50,'=',2000,nM,5.7,,,inhibitor [IC50=2uM],UO_0000065,,,,,0,CHEMBL2077531,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3308860,"Estradiol 3,17-disulfate",,5.7,,5.7,5.7,0,0,0,0
5,CHEMBL2074584,Glycolithocholate-3-sulfate,0,513.7,1,4.45,Glycolithocholate-3-sulfate,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@@]21C,72222,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)OS(=O)(=O)O)C)C,IC50,'=',10000,nM,5,,,inhibitor [IC50=10uM],UO_0000065,,,,,0,CHEMBL2078156,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells,F,BAO_0000249,cell membrane format,None,None,None,HEK293,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3307715,sulfolithocholylglycine,,5,,5,5,0,0,0,0
6,CHEMBL185878,TAUROCHENODEOXYCHOLATE,0,499.71,0,3.4,Taurochenodeoxycholate,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,387316,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,IC50,'=',55000,nM,4.26,,,inhibitor [IC50=55uM],UO_0000065,,,,,0,CHEMBL2078156,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells,F,BAO_0000249,cell membrane format,None,None,None,HEK293,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3307715,387316,,4.26,211,4.26,4.26,0,0,0,0
7,CHEMBL408701,TAUROLITHOCHOLIC ACID,3,483.72,0,4.43,Taurolithocholate,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,439763,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,IC50,'=',20000,nM,4.7,,,inhibitor [IC50=20uM],UO_0000065,,,,,0,CHEMBL2078156,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells,F,BAO_0000249,cell membrane format,None,None,None,HEK293,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3307715,taurolithocholate,,4.7,,4.7,4.7,0,0,0,0
8,CHEMBL2074591,Estradiol 3-glucuronide,0,448.51,0,1.17,Estradiol 3-glucuronide,C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,440713,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O,IC50,'=',80000,nM,4.1,,,inhibitor [IC50=80uM],UO_0000065,,,,,0,CHEMBL2077067,TP_TRANSPORTER: inhibition of DHEAS in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3308860,Estradiol-3-Glucuronide,,4.1,,4.1,4.1,0,0,0,0
9,CHEMBL2074591,Estradiol 3-glucuronide,0,448.51,0,1.17,Estradiol 3-glucuronide,C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,440713,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O,IC50,'=',120000,nM,3.920818754,,Outside typical range,inhibitor [IC50=120uM],UO_0000065,,,,,0,CHEMBL2077531,TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing Sf9 cells,F,BAO_0000249,cell membrane format,None,None,None,Sf9,Membrane vesicle,CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens,SINGLE PROTEIN,CHEMBL2073753,18,TP-search Transporter Database,Biochem. J.,2003,CHEMBL3308860,Estradiol-3-Glucuronide,,3.920818754,,3.920818754,3.920818754,0,0,0,0
