"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4282796";"";"0";"378.49";"0";"4.96";"31";"Fc1ccc(N2CCN(CCCCOc3ccc4ccccc4c3)CC2)cc1";"IC50";"'='";"3150.0";"nM";"5.50";"";"";"UO_0000065";"14.54";"0.27";"0.54";"35.02";"False";"CHEMBL4276203";"Inhibition of [3H]serotonin uptake at human SERT expressed in HEK293 cells after 15 to 20 mins by microbeta scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4270660";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"None";""
"CHEMBL524313";"";"0";"299.37";"0";"2.94";"19-I";"CNC[C@@H]1OCc2ccccc2[C@@H]1Oc1ccc(O)cc1C";"IC50";"'='";"35.0";"nM";"7.46";"";"";"UO_0000065";"24.91";"0.46";"4.52";"14.70";"False";"CHEMBL998746";"Inhibition of serotonin uptake at human SERT expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156588";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"CHEMBL3307715";""
"CHEMBL498141";"";"0";"337.34";"0";"3.94";"12-II";"CNC[C@H]1OCc2ccccc2[C@H]1Oc1ccccc1C(F)(F)F";"IC50";"'='";"6700.0";"nM";"5.17";"";"";"UO_0000065";"15.34";"0.29";"1.23";"16.97";"False";"CHEMBL998746";"Inhibition of serotonin uptake at human SERT expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156588";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"CHEMBL3307715";""
"CHEMBL2219885";"";"0";"253.35";"0";"3.16";"BDBM177680";"c1ccc(COC(c2ccccc2)C2CNC2)cc1";"IC50";"'='";"82.9";"nM";"7.08";"";"323458";"UO_0000065";"27.95";"0.51";"3.92";"33.31";"False";"CHEMBL3887206";"Binding Assay: 5-HT transporter binding assay for evaluating binding of the compound to the serotonin transporter was carried out using human recombinant serotonin transporter membrane (PerkinElmer Life and Analytical Sciences, USA) expressed in HEK293 cells and radioisotope [3H]Imipramine (PerkinElmer).That is, the test drug, 2 nM [3H]Imipramine, serotonin transporter membrane (9 ug/well), 120 mM NaCl and 50 mM Tris-HCl buffer (pH 7.4) containing 5 mM KCl were added to obtain a reaction mixture with a final volume of 0.25 ml. After incubation for 30 minutes at 27° C., the mixture was quickly passed through a Filtermat A glass fiber filter (PerkinElmer) pre-soaked with 0.5% (w/v) PEI (polyethyleneimine) using Inotech Harvester (Inotech) to terminate the reaction. After washing with cold washing buffer (50 mM Tris-HCl, pH 7.4, 154 mM NaCl) solution, the filter was covered with MeltiLex and sealed in a sample bag. After drying in an oven, radioactivity was counted using MicroBeta Plus (Wallac).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886211";"37";"BindingDB Database";"";"2015";"CHEMBL3307715";""
"CHEMBL2333624";"";"0";"433.52";"0";"4.88";"24";"CN1CCC(COCc2cc(C(F)(F)F)cc(N3CCCC3)n2)(c2ccccc2)CC1";"IC50";"'='";"6.6";"nM";"8.18";"";"";"UO_0000065";"18.87";"0.36";"3.30";"28.60";"False";"CHEMBL2342729";"Displacement of [125I]RTI-55 from human SERT expressed in HEK293 cell membranes after 1 hr by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331544";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"CHEMBL3307715";""
"CHEMBL1909048";"";"0";"313.83";"0";"4.43";"1-(2-CHLOROBENZOYL)-4-(PHENYLMETHYL)-PIPERIDINE";"O=C(c1ccccc1Cl)N1CCC(Cc2ccccc2)CC1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL368229";"";"0";"232.33";"0";"2.67";"2K";"COc1ccc2[nH]cc(CCCN(C)C)c2c1";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL834018";"Inhibitory concentration against serotonin transporter protein (SERT) expressed in HEK293 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142039";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2005";"CHEMBL3307715";""
"CHEMBL3613150";"";"0";"398.55";"1";"5.04";"8e";"O=C(NCCN1CCC(Cc2ccccc2)CC1)c1ccc(-c2ccccc2)cc1";"IC50";"'='";"986.0";"nM";"6.01";"";"";"UO_0000065";"15.07";"0.27";"0.97";"18.57";"False";"CHEMBL3614497";"Inhibition of human SERT expressed in HEK293 cells assessed as reduction of serotonin reuptake using [3H]-SERT after 15 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3611988";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2015";"CHEMBL3307715";""
"CHEMBL52440";"DEXTROMETHORPHAN";"4";"271.40";"0";"3.38";"DEXTROMETHORPHAN";"COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3";"IC50";"'='";"2.71";"nM";"8.57";"";"";"UO_0000065";"31.57";"0.59";"5.19";"68.70";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL488242";"";"0";"247.72";"0";"3.85";"15";"CNCc1ccccc1Oc1ccc(Cl)cc1";"IC50";"'='";"13.9";"nM";"7.86";"";"";"UO_0000065";"31.72";"0.63";"4.01";"36.96";"False";"CHEMBL962307";"Inhibition of serotonin reuptake at SERT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152152";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
