,compound_id,base_rdkit_smiles,relation,VALUE_NUM_mean,active
0,CHEMBL1171260,C[C@@H]1N(C)C(C)(C)CO[C@@]1(O)c1cccc(Cl)c1,,6.27,0
2,CHEMBL196468,CN(C)C[C@H]1C[C@@H]1c1c[nH]c2ccc(C#N)cc12,,9.354,1
4,CHEMBL3703738,Cc1noc(C)c1-c1ccc2c(c1)CNCC2c1ccc(Cl)c(Cl)c1,,8.31,1
6,CHEMBL211363,COc1cccc2c1C[C@@H](N(CCCc1c[nH]c3ccc(F)cc13)C1CCC1)CO2,,6.13,0
7,CHEMBL2380973,N#Cc1c[nH]c2ccc([C@@H]3CCC[C@H]3CN3CCCC3)cc12,,6.52,0
9,CHEMBL3216501,Cc1cccc(N2CCN(CCCNC(=O)c3cn(-c4ccccc4)c(-c4ccccc4)n3)CC2)c1C,,7.3,1
10,CHEMBL4227736,Cc1ccc(C(=O)Oc2ccc(C(CN(C)C)C3(O)CCCCC3)cc2)cc1,,6.14,0
11,CHEMBL185025,COc1ccc(F)c(CC2CCN([C@H]3CC[C@]4(CC3)OC(=O)c3c5c(ccc34)OCO5)CC2)c1,,6.4,0
12,CHEMBL171106,COC(=O)C1C(c2cccc(Br)c2)CC2CCC1N2C,,7.69,1
13,CHEMBL214237,c1ccc(CC(c2ccccc2)N2CCNCC2)cc1,,7.85,1
14,CHEMBL511099,Cc1ccc(C23CNCC2C3)cc1,,6.93,0
15,CHEMBL1201203,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,,4.62,0
16,CHEMBL406156,NCC(=O)NCC1CC1(C(=O)C1NCCc2ccccc21)c1ccccc1,,6.82,0
17,CHEMBL525238,CCc1ccccc1O[C@H]1c2ccccc2OC[C@H]1CNC,,5.34,0
18,CHEMBL3334798,CN(C)CCC(c1ccc(Cl)c(Cl)c1)N1CCCCC1,,6.26,0
20,CHEMBL1080554,Cc1cccc(N2CCN(CCCCNC(=O)c3cc(-c4ccccc4)n(C)c3C)CC2)c1C,,6.83,0
22,CHEMBL3216497,CCCc1nc(C(=O)NCC(O)CN2CCN(c3cccc(Cl)c3Cl)CC2)cn1-c1ccc(Cl)cc1,,5.89,0
24,CHEMBL456221,COc1ccc(F)cc1C[C@H]1CC[C@H](CN)O1,,6.91,0
25,CHEMBL1813488,Clc1ccc(C[C@]23CCCC[C@H]2CNC3)cc1Cl,,6.18,0
26,CHEMBL363320,O=C1O[C@]2(CC[C@@H](N3CCC(Cc4ccccc4Br)CC3)CC2)c2ccc3c(c21)OCCO3,,7.14,1
27,CHEMBL3916301,CCC(NC(CC(C)C)C1(c2ccc(Cl)cc2)CCC1)C(=O)OCC(C)C,,6.38,0
28,CHEMBL3673144,Nc1cnc(-c2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)CC2)cn1,,8.46,1
30,CHEMBL3323091,CN1Cc2ccccc2C(c2cc3ccccc3o2)C1,,6.96,0
31,CHEMBL514193,CCCn1c(=O)n([C@@H](CCNC)c2ccccc2)c2ccccc21,,6.78,0
32,CHEMBL4101959,Clc1cccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)c1,,5.87,0
33,CHEMBL2111613,COC(=O)[C@H]1C2CCC(C2)C[C@@H]1c1ccc2ccccc2c1,,6.640000000000001,0
34,CHEMBL4076722,[O-][S+](Cc1csc(Br)c1)C(c1ccccc1)c1ccccc1,,4.35,0
36,CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1,,7.8,1
38,CHEMBL454770,CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc1ccc(O)cc1C,,7.85,1
39,CHEMBL1852370,Cc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccccc1F,,7.89,1
40,CHEMBL470313,CNCC[C@@H](c1ccccc1)n1c(=O)n(C(C)C)c2cccc(F)c21,,5.85,0
41,CHEMBL562000,COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)N3CCC(C(=O)N(C)C)(c4ccccc4)CC3)C(C)(C)C2)cc1,,7.42,1
42,CHEMBL1684042,CC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,,6.25,0
43,CHEMBL1081644,Cc1cccc(N2CCN(CCCNC(=O)c3cc(-c4ccccc4)n(C)c3C)CC2)c1C,,7.925,1
44,CHEMBL1830885,O=S1(=O)N(CC[C@@H]2CNCCO2)c2ccccc2N1c1ccccc1F,,5.19,0
45,CHEMBL3323173,Cc1ccc2c(c1)CN(C)CC2c1ccc2sccc2c1,,8.31,1
47,CHEMBL605535,CN1CC[C@H](Cc2ccccc2)C[C@@H]1CCc1c[nH]c2ccc(C#N)cc12,,8.12,1
49,CHEMBL3673168,FC(F)Oc1ccc2c(c1)CN1CCC2(c2ccc(Cl)c(Cl)c2)CC1,,8.52,1
50,CHEMBL456639,NCC1CCC(CCc2ccccc2)O1,,6.89,0
51,CHEMBL321067,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@@](O)(c2ccccc2)CN43)cc1,,8.1,1
53,CHEMBL251576,CN(C)CC1CC1c1n[nH]c2ccc(C#N)cc12,,7.15,1
54,CHEMBL1813470,CN1C[C@H]2CCCC[C@@]2(c2ccc3ccccc3c2)C1,,7.9,1
55,CHEMBL1813316,CCN1C[C@H]2CCCC[C@@]2(c2ccc(Cl)c(Cl)c2)C1,,7.34,1
57,CHEMBL1643515,NC1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,,5.59,0
59,CHEMBL315172,COC(=O)C1C(c2ccc3ccccc3c2)CC2[C@@H](O)CC1N2C,,7.109999999999999,1
60,CHEMBL380401,NC(=O)c1ccc(F)c2c1C[C@@H](NCCCc1c[nH]c3ccc(F)cc13)CO2,,6.71,0
61,CHEMBL462401,CNC[C@@]1(O)Cc2ccccc2[C@H]1Oc1ccccc1C,,5.26,0
62,CHEMBL451076,CNCc1cc(C#N)ccc1Oc1ccc(Cl)c(Cl)c1,,8.6,1
65,CHEMBL314887,COC(=O)C1C(c2ccc(F)cc2)CC2[C@@H](O)CC1N2C,,5.24,0
67,CHEMBL520994,CCCN(CCCCn1ccc2ccc(F)cc21)C1COc2c(F)ccc(C(N)=O)c2C1,,6.11,0
68,CHEMBL1642892,N[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,,7.08,1
70,CHEMBL1830877,O=S1(=O)N(CCC2CNCCO2)c2ccccc2N1c1ccccc1,,5.75,0
71,CHEMBL1214367,Cc1cccc(N2CCN(CCCNC(=O)c3cc(-c4ccc(Cl)cc4)n(C)c3C)CC2)c1C,,6.89,0
72,CHEMBL1813474,Clc1ccc([C@]23CCC[C@H]2CNC3)cc1Cl,,6.3,0
74,CHEMBL402365,CCN(CC)C(=O)[C@]1(c2ccccc2)CC1CNC,,5.27,0
75,CHEMBL4060019,Clc1cccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)c1Cl,,5.4,0
76,CHEMBL460407,COc1ccc(F)cc1CCC[C@H]1CC[C@H](CN)O1,,8.68,1
77,CHEMBL3317700,CC1NCCCN(c2ccc(Cl)c(Cl)c2)C1=O,,6.28,0
78,CHEMBL596613,N#Cc1ccc2[nH]cc(CC[C@H]3C[C@@H](Cc4ccccc4)CCN3)c2c1,,7.75,1
79,CHEMBL125017,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccccc1)c1ccccc1)N2C,,5.0,0
81,CHEMBL3216093,Cc1c(Cl)cccc1N1CCN(CCCNC(=O)c2nc(C)n(-c3ccccc3Cl)c2C)CC1,,7.75,1
82,CHEMBL214209,CN1C2CCC1C1COC(=O)CCCCCC(=O)Nc3ccc(cc3)C1C2,,6.7,0
83,CHEMBL2338055,Clc1cc(Cl)c(O[C@@H](c2ccccc2)[C@H]2CCNC2)c(-c2ccccn2)c1,,7.5,1
85,CHEMBL4226716,COC[C@H]1[C@@H](c2ccc(Cl)c(Cl)c2)C[C@@H]2CC[C@H]1N2C,,8.0,1
87,CHEMBL520661,NC(=O)c1ccc(F)c2c1CC(N(CCCc1c[nH]c3cc(F)ccc13)C1CCC1)CO2,,6.05,0
88,CHEMBL1271930,CSc1nc(C)cc(C(=O)NCCN2CCN(c3cccc(C)c3C)CC2)n1,,5.99,0
89,CHEMBL3819009,O=c1[nH]c(-c2ccn(C[C@@H]3CNCCO[C@H]3c3ccc(Cl)c(F)c3)c(=O)c2)no1,,6.92,0
90,CHEMBL481526,CCOc1ccc(Oc2ccccc2CN(C)C)cc1,,7.52,1
