base_rdkit_smiles,compound_id,pIC50,relation,active
CC(C)c1csc(C(=O)Nc2cccc([C@@H](C)Nc3ncnc4c(C(N)=O)cccc34)c2)n1,CHEMBL3680504,9.10790539730952,,1
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(NS(=O)(=O)Cc4ccccc4)cc32)[nH]c2c1C(=O)CCC2,CHEMBL1215216,7.200659450546419,,1
C[C@@H](Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F,CHEMBL2042136,5.055024091587953,,1
NCc1cccc(NC(=O)c2cccc3onc(N)c23)c1,CHEMBL2063449,4.903089986991943,<,0
COc1ccc2c(c1)/C(=C\c1ccc3c(/C=C/c4ccc(N5CCN(C)CC5)nc4)n[nH]c3c1)C(=O)N2,CHEMBL2407900,6.431798275933005,,1
CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccnc(Cl)c2)c1,CHEMBL3675411,8.886056647693161,,1
O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12,CHEMBL126077,5.3979400086720375,,1
CCOC(=O)C1CCN(c2ccc3c(Nc4cc(C)[nH]n4)nc(-c4ccccc4)nc3c2)CC1,CHEMBL4282148,7.420216403383192,,1
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CC[C@H](F)C3)ns2)n1,CHEMBL1650543,8.397940008672037,>,1
COC(=O)c1ccc(Nc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)cc1OC,CHEMBL4161644,7.173925197299173,,1
CN1CCN(CCC(Nc2ncnc3c(C(N)=O)cccc23)c2cccc(NC(=O)c3cc(C4CC4)n[nH]3)c2)CC1,CHEMBL3680581,8.886056647693161,,1
COc1cc2ncnc(Oc3ccc4c(C(=O)NC5CC5)cccc4c3)c2cc1OC,CHEMBL411284,5.0809219076239245,,1
CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)C(=O)CCC3)C(=O)N2,CHEMBL1215070,7.508638306165728,,1
