compound_id,SMILES,activity,conc,rdkit_smiles
LON-WEI-1908424e-7,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,0.1,50000.0,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1
TRY-UNI-714a760b-22,Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,61.41119499999999,50000.0,Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1
MAT-POS-590ac91e-69,O=C(c1cc(=O)[nH]c2ccc(F)cc12)N1CCN(S(=O)(=O)c2cccc(Cl)c2)CC1,1.394463485,20000.0,O=C(c1cc(=O)[nH]c2ccc(F)cc12)N1CCN(S(=O)(=O)c2cccc(Cl)c2)CC1
ALP-POS-305f6ec3-1,CC(C)(C)c1ccc(N(C(=O)c2cc(C3(O)COC3)on2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,4.58232949478157,,CC(C)(C)c1ccc(N(C(=O)c2cc(C3(O)COC3)on2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
LOR-NOR-30067bb9-13,O=C1Nc2ccc(OCCF)cc2C1=O,0.1,50000.0,O=C1Nc2ccc(OCCF)cc2C1=O
LON-WEI-adc59df6-44,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC1CC1)c1cccnc1,25.405739999999998,20000.0,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC1CC1)c1cccnc1
BAR-COM-4e090d3a-7,CC(NC(=O)C(Cc1ccccc1)NC(=O)c1ccco1)c1ncco1,0.1,50000.0,CC(NC(=O)C(Cc1ccccc1)NC(=O)c1ccco1)c1ncco1
ALP-POS-02c6a514-49,CC(C)(C)c1ccc(N(C(=O)c2nccs2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,6.096747851122499,,CC(C)(C)c1ccc(N(C(=O)c2nccs2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1
GIA-UNK-d2defdc3-2,O=C(NC1CCCCC1NC(=O)c1ccncc1)c1ccccc1,0.1,50000.0,O=C(NC1CCCCC1NC(=O)c1ccncc1)c1ccccc1
EDG-MED-5d232de5-5,CN1CC[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21,6.60948247576809,,CN1CC[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc21
ALP-POS-64a710fa-1,O=C(Cc1cncc2ccccc12)N(CCC1CCCCC1)Cc1cccs1,5.00607311804639,,O=C(Cc1cncc2ccccc12)N(CCC1CCCCC1)Cc1cccs1
LON-WEI-b8d98729-31,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)NC(C)(C)C)c1cccnc1,9.2873815,20000.0,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)NC(C)(C)C)c1cccnc1
CAS-DEP-751a2458-2,Cc1cc(-c2nc3ccccc3[nH]2)ccc1O,0.1,50000.0,Cc1cc(-c2nc3ccccc3[nH]2)ccc1O
MAT-POS-bfefc3ea-3,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)NCC(=O)C=[N+]=[N-])C(C)C,11.49197,50000.0,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)NCC(=O)C=[N+]=[N-])C(C)C
BAR-COM-4e090d3a-58,O=C(NCc1cncs1)Nc1cccc(N2CCOCC2)c1,13.5716,50000.0,O=C(NCc1cncs1)Nc1cccc(N2CCOCC2)c1
JAN-GHE-83b26c96-10,Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)N(C)C,38.98899,50000.0,Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)N(C)C
TRY-UNI-714a760b-20,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,33.561645,20000.0,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1
TRY-UNI-714a760b-24,Cc1ccncc1NC(=O)Nc1cccc(C#N)c1,44.289915,50000.0,Cc1ccncc1NC(=O)Nc1cccc(C#N)c1
PET-UNK-8df914d1-2,O=C(Cc1cccc(Cl)c1)Nc1cnc2ccccn12,5.0950711455967,,O=C(Cc1cccc(Cl)c1)Nc1cnc2ccccn12
RAL-MED-2de63afb-9,C=CC(=O)Nc1cccc(OC2CC(=O)N2)c1,2.1948,50000.0,C=CC(=O)Nc1cccc(OC2CC(=O)N2)c1
ADA-UCB-6c2cb422-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2ccccc12,93.50417,20000.0,O=C(Cc1cccc(Cl)c1)Nc1cncc2ccccc12
SER-UNI-985a0e14-4,CCc1ccccc1Nc1nc(N)nc(CSc2nnc3ccccn23)n1,20.901220000000002,20000.0,CCc1ccccc1Nc1nc(N)nc(CSc2nnc3ccccn23)n1
LON-WEI-adc59df6-95,C=CC(=O)N(c1ccc(N2CCC2)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,0.1,20000.0,C=CC(=O)N(c1ccc(N2CCC2)cc1)C(C(=O)NC(C)(C)C)c1cccnc1
EDG-MED-0da5ad92-9,Cc1ccncc1NC(=O)CC1CCCNC1,0.1,20000.0,Cc1ccncc1NC(=O)CC1CCCNC1
MAK-UNK-0d6072ac-21,Cc1cc([C@H](C)C(=O)O)cc2[nH]c3ccc(Cl)cc3c12,3.370455,50000.0,Cc1cc([C@H](C)C(=O)O)cc2[nH]c3ccc(Cl)cc3c12
LON-WEI-1908424e-9,O=C(N[C@@H](Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,0.1,50000.0,O=C(N[C@@H](Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1
LON-WEI-1908424e-16,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,0.1,50000.0,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1
SIM-SYN-3099a863-1,Cc1ccc(S(=O)(=O)N2CCC(NC(=O)N(C)Cc3cc(C)on3)CC2)cc1,0.1,20000.0,Cc1ccc(S(=O)(=O)N2CCC(NC(=O)N(C)Cc3cc(C)on3)CC2)cc1
LON-WEI-adc59df6-59,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cncc(OC)c1C,28.62562,50000.0,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cncc(OC)c1C
DRA-CSI-7ec17797-18,O=C(Nc1nnc(-c2ccccn2)o1)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,3.8682415,20000.0,O=C(Nc1nnc(-c2ccccn2)o1)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1
MAT-POS-590ac91e-64,Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccc(F)cc34)CC2)c(C)c1,20.615,50000.0,Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccc(F)cc34)CC2)c(C)c1
ALP-POS-88a7a97e-10,CN(C)C(=O)CNC(=O)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(C(C)(C)C)cc1,4.53433515688458,,CN(C)C(=O)CNC(=O)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(C(C)(C)C)cc1
MED-COV-4280ac29-12,O=C(CCl)N1CCN(C2(c3cccc(Cl)c3)CC2)CC1,4.281821564902669,,O=C(CCl)N1CCN(C2(c3cccc(Cl)c3)CC2)CC1
